trial,rev_1,rev_5,rev_10,rev_20,rev_30,rev_40,rev_50,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10
32,2.1403,10.5832,20.9264,41.2791,61.4367,81.5103,101.5461,1.0000,6.3918,10.0336,10.3899,11.0673,19.9863,22.9745,24.4766,39.9331,1000000.0000
33,2.0395,10.0000,19.9999,40.5756,60.7380,80.8499,100.9294,1.0000,25.7430,28.3072,32.5823,41.6567,42.4058,47.2249,51.4910,55.3094,1000000.0000
34,2.1333,10.5617,20.9225,41.3185,61.5101,81.6098,101.6679,1.0000,7.0792,10.8219,15.2626,16.5829,16.8295,26.8700,34.6239,38.8064,1000000.0000
35,2.1202,10.5122,20.8544,41.2603,61.4779,81.6062,101.6897,1.0000,7.6527,12.7882,15.5846,26.4949,29.3847,32.0158,51.3612,57.0108,1000000.0000
36,2.2179,10.6071,20.8789,41.2422,61.4660,81.6125,101.7124,1.0000,3.1165,18.1330,22.8562,28.3425,28.3692,34.7451,51.3720,51.6631,1000000.0000
37,2.2425,10.6424,20.9067,41.2709,61.5008,81.6488,101.7478,1.0000,2.4197,5.3259,24.6518,33.2252,42.3311,42.4749,54.8902,56.5958,1000000.0000
38,2.2473,10.7668,21.1187,41.4220,61.5222,81.5576,101.5682,1.0000,1.8106,4.9285,11.8993,15.7508,20.5191,39.4593,42.0482,42.3186,1000000.0000
39,2.0537,10.2513,20.4607,40.7807,61.0018,81.1553,101.2617,1.0000,19.1328,24.1472,28.0214,36.6654,40.9095,44.7600,51.5929,58.1656,1000000.0000
40,2.0625,10.2883,20.5221,40.8551,61.0587,81.1825,101.2569,1.0000,15.2139,20.0226,23.7498,26.5453,48.0752,52.9830,56.0727,58.1799,1000000.0000
41,2.0000,10.5482,20.7760,41.0956,61.3010,81.4377,101.5287,1.0000,2.1113,19.6788,24.2369,27.0615,33.4789,34.8005,38.6658,52.0944,1000000.0000
42,2.0632,10.2819,20.4960,40.7960,60.9892,81.1169,101.2021,1.0000,14.7180,35.8694,40.0838,49.7299,51.4759,53.9923,55.1131,56.3343,1000000.0000
43,2.0748,10.3375,19.9996,39.9982,61.1641,81.2899,101.3658,1.0000,13.4362,14.3088,16.4967,16.5066,23.1220,29.6007,31.7879,42.4885,1000000.0000
44,2.2310,10.7973,21.1461,41.5134,61.7252,81.8578,101.9339,1.0000,2.7610,6.3813,9.7613,24.0645,34.2300,39.7570,41.4708,55.7273,1000000.0000
45,2.1509,10.6075,20.9586,41.3305,61.5224,81.6404,101.7181,1.0000,5.9646,10.6343,14.9484,38.2362,39.0841,50.3579,56.6636,58.5451,1000000.0000
46,2.1269,10.5019,20.7993,41.1413,61.3317,81.4518,101.5315,1.0000,6.7077,6.8036,7.0118,15.5611,29.2528,51.2037,52.9957,56.9806,1000000.0000
47,2.0905,10.3871,20.6608,41.0320,61.2665,81.4183,101.5176,1.0000,9.9345,26.0057,27.4398,28.5071,32.0208,41.1065,45.6766,56.6783,1000000.0000
48,2.1247,10.4861,20.7829,41.1675,61.4049,81.5565,101.6528,1.0000,6.8475,23.5105,28.1757,33.0637,40.4358,44.6049,48.0996,54.7638,1000000.0000
49,2.1059,10.4742,20.8068,41.1996,61.4301,81.5853,101.7008,1.0000,8.9071,12.1407,18.5539,34.2708,49.7088,53.2099,55.7507,59.8911,1000000.0000
50,2.0803,10.3523,20.6122,40.9689,61.1947,81.3416,101.4385,1.0000,11.3565,26.9080,37.7638,47.7486,54.0148,54.3731,54.7475,57.2311,1000000.0000
51,2.1190,10.4874,20.7841,41.0781,61.1905,81.2343,101.2511,1.0000,7.2463,8.2040,17.6849,18.1565,21.8245,21.9532,53.1527,55.5559,1000000.0000
